Comp,Wellington Capital Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,29/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Alex Hulley,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,
,,X,,X,,62.47,,,,63.97,,X,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,fps,100,0.01,,,,696,141,
,cos 38.7 = 15.93/res,21.49870429,,23.1346802,,26.68940778,,#DIV/0!,,32.41597557,,26.09645488,,,,,,,Swinger assumes (fps),,50,0.02,,,,,,
,resl = 15.93/cos38.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,conversion required,,0.5,*only used if conversion issue otherwise change,,,,
,,,,,,,,,,,,,,,,,,,,,,,, to 1 to avoid temporal data being adjusted,,,,
Calculated duration of interval from Right Foot Plant to Left Toe Up (or Heel Down - if so alter on front page) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.66,,0.64,,0.64,,0,,0.63,,0.6,,,0,,,,,,,,,,,,,
Turn 2,,0.46,,0.52,,0.47,,0,,0.46,,0.49,,,0,,,,,,,,,,,,,
Turn 3,,0.34,,0.4,,0.38,,0,,0.34,,0.63,,,0,,,,,,,,,,,,,
Turn 4,,0.5,,0.56,,0.52,,0,,0.48,,0,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated times for single and double support phases and as a percentage of total throw time included in report,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,Single (s),0.3,,0.28,,0.28,,0,,0.285,,0.29,,,0,,,,,,,,,,,,,
,Double (s),0.44,,0.38,,0.425,,0,,0.355,,0.375,,,0,,,,,,,,,,,,,
Turn 2,Single (s),0.2,,0.22,,0.23,,0,,0.23,,0.2,,,0,,,,,,,,,,,,,
,Double (s),0.31,,0.31,,0.305,,0,,0.29,,0.315,,,0,,,,,,,,,,,,,
Turn 3,Single (s),0.24,,0.22,,0.23,,0,,0.25,,0.22,,,0,,,,,,,,,,,,,
,Double (s),0.24,,0.24,,0.25,,0,,0.25,,0.315,,,0,,,,,,,,,,,,,
Turn 4,Single (s),0.26,,0.26,,0.26,,0,,0.25,,0,,,0,,,,,,,,,,,,,
,Double (s),0.25,,0.28,,0.26,,0,,0.24,,0,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated throw time and time for each turn (and as percentage of total throw time on report),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.74,,0.66,,0.71,,0,,0.64,,0.67,,,0,,,,,,,,,,,,,
Turn 2,,0.51,,0.53,,0.54,,0,,0.52,,0.52,,,0,,,,,,,,,,,,,
Turn 3,,0.48,,0.46,,0.48,,0,,0.5,,0.54,,,0,,,,,,,,,,,,,
Turn 4,,0.51,,0.54,,0.52,,0,,0.49,,,,,0,,,,,,,,,,,,,
Total throw time,,2.24,,2.19,,2.24,,0,,2.15,,1.72,,,0,,,,,,,,,,,,,
