"","dataname","Name","Competition","Round","Distance","InHandx","InHandy","OutHand1x","OutHand1y","OutHand2x","OutHand2y","OutHand3x","OutHand3y","Angle1","Angle2","Angle3","AngleAvg","HVel1","VVel1","HVel2","VVel2","HVel3","VVel3","HVelAvg","VVelAvg","RVel1","RVel2","RVel3","RVelAvg","RVelfromAvg","DUTurn1","DUTurn2","DUTurn3","DUTurn4","Turn1Single","Turn1Double","Turn2Single","Turn2Double","Turn3Single","Turn3Double","Turn4Single","Turn4Double","Turn1","Turn2","Turn3","Turn4","TotalTime","Turn1SinglePC","Turn1DoublePC","Turn2SinglePC","Turn2DoublePC","Turn3SinglePC","Turn3DoublePC","Turn4SinglePC","Turn4DoublePC","Turn1PC","Turn2PC","Turn3PC","Turn4PC"
"16","Alex Hulley_NationalChampionships2019v2","Alex Hulley","NationalChampionships2019v2",4,"65.48",840,652,896,700,949,746,1003,795,40.6,40.96,42.22,41.26,20.3,NA,19.21,NA,19.57,NA,19.69,NA,26.74,25.44,26.43,26.2,26.19,0.3,0.24,0.2,0.27,0.34,0.32,0.28,0.28,0.2,0.24,0.26,0.27,0.66,0.56,0.44,0.53,2.19,16,15,13,13,9,11,12,12,30,26,20,24
"17","Alex Hulley_NationalChampionships2019v2","Alex Hulley","NationalChampionships2019v2",5,"64.24",741,637,795,686,850,734,900,781,42.22,41.11,43.23,42.19,19.57,NA,19.94,NA,18.12,NA,19.21,NA,26.43,26.46,24.87,25.92,25.93,0.32,0.22,0.18,0.25,0.32,0.36,0.24,0.26,0.24,0.24,0.26,0.25,0.68,0.5,0.48,0.51,2.17,15,17,11,12,11,11,12,12,31,23,22,24
"18","Alex Hulley_NationalChampionships2019v2","Alex Hulley","NationalChampionships2019v2",6,"65.49",781,578,836,629,887,679,NA,NA,42.84,44.43,NA,43.64,19.94,NA,18.49,NA,NA,NA,19.21,NA,27.19,25.89,NA,26.54,26.54,0.3,0.22,0.16,0.24,0.32,0.34,0.26,0.24,0.28,0.24,0.24,0.24,0.66,0.5,0.52,0.48,2.16,15,16,12,11,13,11,11,11,31,23,24,22
"19","Alex Hulley_NSWStateChamps2019v2","Alex Hulley","NSWStateChamps2019v2",1,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.22,0.2,0.28,0.28,0.4,0.24,0.28,0.24,0.24,0.24,0.28,0.68,0.52,0.48,0.52,2.2,13,18,11,13,11,11,11,13,31,24,22,24
"20","Alex Hulley_NSWStateChamps2019v2","Alex Hulley","NSWStateChamps2019v2",2,"60.1",704,627,747,671,794,719,842,766,45.66,45.6,44.4,45.22,15.69,NA,17.15,NA,17.52,NA,16.79,NA,22.45,24.51,24.52,23.83,23.84,0.34,0.26,0.2,0.24,0.3,0.38,0.22,0.3,0.24,0.26,0.28,0.24,0.68,0.52,0.5,0.52,2.22,14,17,10,14,11,12,13,11,31,23,23,23
"21","Alex Hulley_NSWStateChamps2019v2","Alex Hulley","NSWStateChamps2019v2",3,"X",654,595,702,647,738,690,781,739,47.29,50.06,48.73,48.69,17.52,NA,13.14,NA,15.69,NA,15.45,NA,25.83,20.47,23.79,23.36,23.4,0.28,0.2,0.18,0.26,0.32,0.36,0.24,0.26,0.22,0.26,0.24,0.26,0.68,0.5,0.48,0.5,2.16,15,17,11,12,10,12,11,12,31,23,22,23
"22","Alex Hulley_NSWStateChamps2019v2","Alex Hulley","NSWStateChamps2019v2",4,"64.89",584,607,642,662,699,719,741,761,43.48,45,45,44.49,21.17,NA,20.8,NA,15.33,NA,19.1,NA,29.18,29.42,21.68,26.76,26.77,0.3,0.24,0.16,0.23,0.3,0.36,0.24,0.28,0.26,0.22,0.26,0.23,0.66,0.52,0.48,0.49,2.15,14,17,11,13,12,10,12,11,31,24,22,23
"23","Alex Hulley_NSWStateChamps2019v2","Alex Hulley","NSWStateChamps2019v2",5,"66.21",551,550,606,606,656,659,716,723,45.52,46.67,46.85,46.35,20.07,NA,18.25,NA,21.9,NA,20.07,NA,28.64,26.6,32.02,29.09,29.08,0.34,0.2,0.16,0.24,0.32,0.42,0.24,0.24,0.26,0.22,0.26,0.24,0.74,0.48,0.48,0.5,2.2,15,19,11,11,12,10,12,11,34,22,22,23
"24","Alex Hulley_NSWStateChamps2019v2","Alex Hulley","NSWStateChamps2019v2",6,"X",554,642,602,688,644,731,NA,NA,43.78,45.67,NA,44.73,17.52,NA,15.33,NA,NA,NA,16.43,NA,24.27,21.94,NA,23.11,23.13,0.3,0.2,0.18,0.24,0.32,0.34,0.24,0.28,0.26,0.22,0.26,0.24,0.66,0.52,0.48,0.5,2.16,15,16,11,13,12,10,12,11,31,24,22,23
"25","Alex Hulley_OceaniaChampionships2019v2","Alex Hulley","OceaniaChampionships2019v2",1,"63.35",814,641,879,707,945,773,1010,836,45.44,45,44.1,44.85,18.86,NA,19.15,NA,18.86,NA,18.96,NA,26.88,27.08,26.26,26.74,26.74,0.3,0.23,0.16,0.25,0.31,0.37,0.24,0.28,0.25,0.23,0.27,0.25,0.68,0.52,0.48,0.52,2.2,14,17,11,13,11,10,12,11,31,24,22,24
"26","Alex Hulley_OceaniaChampionships2019v2","Alex Hulley","OceaniaChampionships2019v2",2,"X",870,749,941,815,1013,882,1084,949,42.91,42.94,43.34,43.06,20.6,NA,20.89,NA,20.6,NA,20.7,NA,28.13,28.54,28.32,28.33,28.33,0.3,0.22,0.15,0.28,0.29,0.39,0.25,0.24,0.24,0.22,0.28,0.28,0.68,0.49,0.46,0.56,2.19,13,18,11,11,11,10,13,13,31,22,21,26
"27","Alex Hulley_OceaniaChampionships2019v2","Alex Hulley","OceaniaChampionships2019v2",3,"65.81",807,675,875,743,943,813,1007,882,45,45.83,47.15,45.99,19.73,NA,19.73,NA,18.57,NA,19.34,NA,27.9,28.32,27.31,27.84,27.84,0.3,0.22,0.16,0.24,0.32,0.36,0.24,0.26,0.26,0.2,0.3,0.24,0.68,0.5,0.46,0.54,2.18,15,17,11,12,12,9,14,11,31,23,21,25
"28","Alex Hulley_OceaniaChampionships2019v2","Alex Hulley","OceaniaChampionships2019v2",4,"64.93",747,661,819,732,893,805,964,875,44.6,44.61,44.59,44.6,20.89,NA,21.47,NA,20.6,NA,20.99,NA,29.34,30.16,28.93,29.48,29.48,0.32,0.24,0.18,0.26,0.3,0.36,0.24,0.27,0.25,0.24,0.26,0.26,0.66,0.51,0.49,0.52,2.18,14,17,11,12,11,11,12,12,30,23,22,24
"29","Alex Hulley_OceaniaChampionships2019v2","Alex Hulley","OceaniaChampionships2019v2",5,"60.3",860,687,920,749,982,813,1043,878,45.94,45.91,46.82,46.22,17.4,NA,17.99,NA,17.69,NA,17.69,NA,25.02,25.86,25.85,25.58,25.57,0.32,0.22,0.18,0.28,0.31,0.42,0.22,0.26,0.26,0.24,0.26,0.28,0.73,0.48,0.5,0.54,2.25,14,19,10,12,12,11,12,12,32,21,22,24
"30","Alex Hulley_OceaniaChampionships2019v2","Alex Hulley","OceaniaChampionships2019v2",6,"64.11",905,813,973,874,1039,936,1103,996,41.89,43.21,43.15,42.75,19.73,NA,19.15,NA,18.57,NA,19.15,NA,26.5,26.27,25.45,26.07,26.08,0.28,0.22,0.14,0.28,0.32,0.37,0.23,0.28,0.26,0.21,0.25,0.28,0.69,0.51,0.47,0.53,2.2,15,17,10,13,12,10,11,13,31,23,21,24
"31","Alex Hulley_SydneyTrackClassic2019v2","Alex Hulley","SydneyTrackClassic2019v2",1,"X",722,499,754,527,784,551,814,575,41.19,38.66,38.66,39.5,16.83,NA,15.78,NA,15.78,NA,16.13,NA,22.36,20.21,20.21,20.93,20.9,0.32,0.24,0.2,0.26,0.3,0.38,0.24,0.26,0.24,0.24,0.28,0.26,0.68,0.5,0.48,0.54,2.2,14,17,11,12,11,11,13,12,31,23,22,25
"32","Alex Hulley_SydneyTrackClassic2019v2","Alex Hulley","SydneyTrackClassic2019v2",2,"64.69",705,450,740,485,775,519,810,552,45,44.17,43.32,44.16,18.41,NA,18.41,NA,18.41,NA,18.41,NA,26.04,25.67,25.3,25.67,25.66,0.34,0.2,0.19,0.24,0.3,0.38,0.26,0.24,0.24,0.22,0.28,0.24,0.68,0.5,0.46,0.52,2.16,14,18,12,11,11,10,13,11,31,23,21,24
"33","Alex Hulley_SydneyTrackClassic2019v2","Alex Hulley","SydneyTrackClassic2019v2",3,"65.05",674,478,709,513,743,545,777,577,45,43.26,43.26,43.84,18.41,NA,17.88,NA,17.88,NA,18.06,NA,26.04,24.55,24.55,25.05,25.04,0.34,0.22,0.18,0.23,0.3,0.38,0.24,0.24,0.26,0.22,0.28,0.23,0.68,0.48,0.48,0.51,2.15,14,18,11,11,12,10,13,11,32,22,22,24
"34","Alex Hulley_SydneyTrackClassic2019v2","Alex Hulley","SydneyTrackClassic2019v2",4,"68.15",719,453,756,486,792,522,826,554,41.73,45,43.26,43.33,19.46,NA,18.93,NA,17.88,NA,18.76,NA,26.08,26.77,24.55,25.8,25.79,0.3,0.22,0.17,0.26,0.3,0.36,0.24,0.24,0.25,0.21,0.28,0.26,0.66,0.48,0.46,0.54,2.14,14,17,11,11,12,10,13,12,31,22,21,25
"35","Alex Hulley_SydneyTrackClassic2019v2","Alex Hulley","SydneyTrackClassic2019v2",5,"64.18",719,502,757,535,791,568,827,598,40.97,44.14,39.81,41.64,19.98,NA,17.88,NA,18.93,NA,18.93,NA,26.46,24.91,24.64,25.34,25.33,0.32,0.24,0.16,0.24,0.3,0.34,0.22,0.28,0.26,0.19,0.29,0.24,0.64,0.5,0.45,0.53,2.12,14,16,10,13,12,9,14,11,30,24,21,25
"36","Alex Hulley_SydneyTrackClassic2019v2","Alex Hulley","SydneyTrackClassic2019v2",6,"65.73",685,483,720,519,758,551,793,588,45.81,40.1,46.59,44.17,18.41,NA,19.98,NA,18.41,NA,18.93,NA,26.41,26.12,26.79,26.44,26.39,0.3,0.24,0.16,0.27,0.3,0.32,0.24,0.27,0.27,0.2,0.26,0.27,0.62,0.51,0.47,0.53,2.13,14,15,11,13,13,9,12,13,29,24,22,25
"37","Alex Hulley_WellingtonCapitalClassic2020v2","Alex Hulley","WellingtonCapitalClassic2020v2",1,"X",827,746,871,787,914,826,953,864,42.98,42.21,44.26,43.15,16.48,NA,16.11,NA,14.61,NA,15.73,NA,22.53,21.75,20.4,21.56,21.56,0.33,0.23,0.17,0.25,0.3,0.44,0.2,0.31,0.24,0.24,0.26,0.25,0.74,0.51,0.48,0.51,2.24,13,20,9,14,11,11,12,11,33,23,21,23
"38","Alex Hulley_WellingtonCapitalClassic2020v2","Alex Hulley","WellingtonCapitalClassic2020v2",2,"X",790,805,845,841,897,872,948,903,33.21,30.8,31.29,31.77,20.6,NA,19.48,NA,19.1,NA,19.73,NA,24.62,22.68,22.35,23.22,23.21,0.32,0.26,0.2,0.28,0.28,0.38,0.22,0.31,0.22,0.24,0.26,0.28,0.66,0.53,0.46,0.54,2.19,13,17,10,14,10,11,12,13,30,24,21,25
"39","Alex Hulley_WellingtonCapitalClassic2020v2","Alex Hulley","WellingtonCapitalClassic2020v2",3,"62.47",809,745,863,795,916,845,965,892,42.8,43.33,43.81,43.31,20.23,NA,19.85,NA,18.35,NA,19.48,NA,27.57,27.29,25.43,26.76,26.77,0.32,0.24,0.19,0.26,0.28,0.42,0.23,0.31,0.23,0.25,0.26,0.26,0.7,0.54,0.48,0.52,2.24,12,19,10,14,10,11,12,12,31,24,21,23
"40","Alex Hulley_WellingtonCapitalClassic2020v2","Alex Hulley","WellingtonCapitalClassic2020v2",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Alex Hulley_WellingtonCapitalClassic2020v2","Alex Hulley","WellingtonCapitalClassic2020v2",5,"63.97",588,681,652,740,716,800,779,858,42.67,43.15,42.63,42.82,23.97,NA,23.97,NA,23.6,NA,23.85,NA,32.6,32.86,32.08,32.51,32.52,0.32,0.23,0.17,0.24,0.28,0.36,0.23,0.29,0.25,0.25,0.25,0.24,0.64,0.52,0.5,0.49,2.15,13,17,11,13,12,12,12,11,30,24,23,23
"42","Alex Hulley_WellingtonCapitalClassic2020v2","Alex Hulley","WellingtonCapitalClassic2020v2",6,"X",707,736,762,780,819,822,873,864,38.66,36.38,37.87,37.64,20.6,NA,21.35,NA,20.23,NA,20.73,NA,26.38,26.52,25.63,26.18,26.18,0.3,0.24,0.32,NA,0.29,0.38,0.2,0.31,0.22,NA,NA,NA,0.67,0.51,NA,NA,1.18,25,32,17,26,19,NA,NA,NA,57,43,NA,NA
"43","C Heston_CanberraTrackClassic2019v2","C Heston","CanberraTrackClassic2019v2",1,"55.99",1381,666,1467,737,1553,808,1638,881,39.54,39.54,40.66,39.91,21.63,NA,21.63,NA,21.38,NA,21.55,NA,28.05,28.05,28.18,28.09,28.09,0.28,0.24,0.16,0.29,0.26,0.38,0.2,0.28,0.22,0.22,0.28,0.29,0.64,0.48,0.44,0.57,2.13,12,18,9,13,10,10,13,14,30,23,21,27
"44","C Heston_CanberraTrackClassic2019v2","C Heston","CanberraTrackClassic2019v2",2,"X",1472,828,1542,897,1606,963,1670,1030,44.59,45.88,46.31,45.59,17.6,NA,16.09,NA,16.09,NA,16.59,NA,24.71,23.11,23.29,23.7,23.71,0.24,0.2,0.18,0.29,0.28,0.36,0.22,0.27,0.21,0.23,0.27,0.29,0.64,0.49,0.44,0.56,2.13,13,17,10,13,10,11,13,14,30,23,21,26
"45","C Heston_CanberraTrackClassic2019v2","C Heston","CanberraTrackClassic2019v2",3,"53.6",1435,658,1523,720,1614,783,1707,847,35.17,34.7,34.53,34.8,22.13,NA,22.88,NA,23.39,NA,22.8,NA,27.07,27.83,28.39,27.76,27.77,0.26,0.22,0.18,0.25,0.27,0.32,0.22,0.29,0.21,0.26,0.24,0.25,0.59,0.51,0.47,0.49,2.06,13,16,11,14,10,13,12,12,29,25,23,24
"46","C Heston_CanberraTrackClassic2019v2","C Heston","CanberraTrackClassic2019v2",4,"54.81",1399,627,1480,697,1561,763,1639,826,40.83,39.17,38.93,39.64,20.37,NA,20.37,NA,19.61,NA,20.12,NA,26.92,26.27,25.21,26.13,26.13,0.28,0.2,0.18,0.31,0.26,0.34,0.24,0.26,0.24,0.22,0.24,0.31,0.6,0.5,0.46,0.55,2.11,12,16,11,12,11,10,11,15,28,24,22,26
"47","C Heston_CanberraTrackClassic2019v2","C Heston","CanberraTrackClassic2019v2",5,"56.95",1433,675,1512,740,1591,805,1671,871,39.45,39.45,39.52,39.47,19.87,NA,19.87,NA,20.12,NA,19.95,NA,25.73,25.73,26.08,25.85,25.84,0.3,0.2,0.18,0.26,0.26,0.32,0.24,0.25,0.27,0.22,0.26,0.26,0.58,0.49,0.49,0.52,2.08,12,15,12,12,13,11,12,12,28,24,24,25
"48","C Heston_CanberraTrackClassic2019v2","C Heston","CanberraTrackClassic2019v2",6,"58.66",1412,647,1490,712,1568,781,1645,844,39.81,41.5,39.29,40.2,19.61,NA,19.61,NA,19.36,NA,19.53,NA,25.53,26.18,25.01,25.57,25.57,0.28,0.22,0.2,0.27,0.27,0.33,0.23,0.26,0.24,0.24,0.24,0.27,0.6,0.49,0.48,0.51,2.08,13,16,11,12,12,12,12,13,29,24,23,25
"49","Costa Kousparis_OceaniaChampionships2019v2","Costa Kousparis","OceaniaChampionships2019v2",1,"59.39",849,558,922,619,990,679,1058,740,39.88,41.42,41.89,41.06,21.12,NA,19.67,NA,19.67,NA,20.15,NA,27.52,26.23,26.42,26.72,26.72,0.29,0.24,0.2,0.27,0.3,0.31,0.28,0.27,0.27,0.25,0.27,0.27,0.61,0.55,0.52,0.54,2.22,14,14,13,12,12,11,12,12,27,25,23,24
"50","Costa Kousparis_OceaniaChampionships2019v2","Costa Kousparis","OceaniaChampionships2019v2",2,"66.2",978,603,1053,664,1126,722,NA,NA,39.12,38.47,NA,38.8,21.7,NA,21.12,NA,NA,NA,21.41,NA,27.97,26.98,NA,27.48,27.47,0.3,0.24,0.16,0.29,0.31,0.33,0.27,0.27,0.27,0.23,0.27,0.29,0.64,0.54,0.5,0.56,2.24,14,15,12,12,12,10,12,13,29,24,22,25
"51","Costa Kousparis_OceaniaChampionships2019v2","Costa Kousparis","OceaniaChampionships2019v2",3,"64.47",971,587,1048,647,1121,708,1192,765,37.93,39.88,38.76,38.86,22.28,NA,21.12,NA,20.54,NA,21.31,NA,28.25,27.52,26.34,27.37,27.37,0.3,0.26,0.22,0.31,0.3,0.32,0.26,0.29,0.25,0.23,0.27,0.31,0.62,0.55,0.48,0.58,2.23,13,14,12,13,11,10,12,14,28,25,22,26
"52","Costa Kousparis_OceaniaChampionships2019v2","Costa Kousparis","OceaniaChampionships2019v2",4,"65.34",976,598,1048,660,1120,720,1185,780,40.73,39.81,42.71,41.08,20.83,NA,20.83,NA,18.8,NA,20.15,NA,27.49,27.12,25.59,26.73,26.73,0.32,0.24,0.2,0.29,0.29,0.35,0.25,0.25,0.27,0.22,0.28,0.29,0.64,0.5,0.49,0.57,2.2,13,16,11,11,12,10,13,13,29,23,22,26
"53","Costa Kousparis_OceaniaChampionships2019v2","Costa Kousparis","OceaniaChampionships2019v2",5,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Costa Kousparis_OceaniaChampionships2019v2","Costa Kousparis","OceaniaChampionships2019v2",6,"63.27",963,630,1039,694,1105,753,1179,818,40.1,41.79,41.3,41.06,21.99,NA,19.09,NA,21.41,NA,20.83,NA,28.75,25.6,28.5,27.62,27.63,0.34,0.28,0.19,0.29,0.3,0.36,0.24,0.31,0.27,0.23,0.27,0.29,0.66,0.55,0.5,0.56,2.27,13,16,11,14,12,10,12,13,29,24,22,25
"55","Louise Mendes_NationalChampionships2019v2","Louise Mendes","NationalChampionships2019v2",1,"46.18",796,475,845,517,896,559,NA,NA,40.6,39.47,NA,40.03,17.76,NA,18.49,NA,NA,NA,18.12,NA,23.39,23.95,NA,23.67,23.66,0.3,0.24,0.2,0.28,0.32,0.46,0.2,0.39,0.21,0.3,0.26,0.28,0.78,0.59,0.51,0.54,2.42,13,19,8,16,9,12,11,12,32,24,21,22
"56","Louise Mendes_NationalChampionships2019v2","Louise Mendes","NationalChampionships2019v2",2,"49.07",877,478,NA,NA,969,561,1016,603,NA,NA,41.78,41.78,NA,NA,NA,NA,17.04,NA,17.04,NA,NA,NA,22.85,22.85,22.85,0.32,0.28,0.22,0.32,0.34,0.46,0.22,0.38,0.2,0.34,0.22,0.32,0.8,0.6,0.54,0.54,2.48,14,19,9,15,8,14,9,13,32,24,22,22
"57","Louise Mendes_NationalChampionships2019v2","Louise Mendes","NationalChampionships2019v2",3,"48.62",832,478,881,520,NA,NA,979,603,40.6,NA,NA,40.6,17.76,NA,NA,NA,NA,NA,17.76,NA,23.39,NA,NA,23.39,23.39,0.36,0.28,0.24,0.29,0.3,0.52,0.22,0.4,0.2,0.3,0.28,0.29,0.82,0.62,0.5,0.57,2.51,12,21,9,16,8,12,11,12,33,25,20,23
"58","Louise Mendes_NationalChampionships2019v2","Louise Mendes","NationalChampionships2019v2",4,"X",867,546,NA,NA,955,622,1000,660,NA,NA,40.18,40.18,NA,NA,NA,NA,16.31,NA,16.31,NA,NA,NA,21.35,21.35,21.35,0.26,0.24,0.2,0.32,0.38,0.42,0.2,0.34,0.22,0.3,0.28,0.32,0.8,0.54,0.52,0.6,2.46,15,17,8,14,9,12,11,13,33,22,21,24
