"","dataname","Name","Competition","Round","Distance","InHandx","InHandy","OutHand1x","OutHand1y","OutHand2x","OutHand2y","OutHand3x","OutHand3y","Angle1","Angle2","Angle3","AngleAvg","HVel1","VVel1","HVel2","VVel2","HVel3","VVel3","HVelAvg","VVelAvg","RVel1","RVel2","RVel3","RVelAvg","RVelfromAvg","DUTurn1","DUTurn2","DUTurn3","DUTurn4","Turn1Single","Turn1Double","Turn2Single","Turn2Double","Turn3Single","Turn3Double","Turn4Single","Turn4Double","Turn1","Turn2","Turn3","Turn4","TotalTime","Turn1SinglePC","Turn1DoublePC","Turn2SinglePC","Turn2DoublePC","Turn3SinglePC","Turn3DoublePC","Turn4SinglePC","Turn4DoublePC","Turn1PC","Turn2PC","Turn3PC","Turn4PC"
"21","Alex Hulley_NSWStateChamps2019","Alex Hulley","NSWStateChamps2019",3,"X",654,595,702,647,738,690,781,739,47.29,50.06,48.73,48.69,17.76,19.02,13.32,15.73,15.91,17.92,15.66,17.56,26.18,20.75,24.12,23.68,23.72,0.28,0.2,0.18,0.26,0.32,0.36,0.24,0.26,0.22,0.26,0.24,0.26,0.68,0.5,0.48,0.5,2.16,15,17,11,12,10,12,11,12,31,23,22,23
"22","Alex Hulley_NSWStateChamps2019","Alex Hulley","NSWStateChamps2019",4,"64.89",584,607,642,662,699,719,741,761,43.48,45,45,44.49,21.46,20.11,21.09,20.85,15.54,15.36,19.36,18.77,29.57,29.83,21.98,27.13,27.14,0.3,0.24,0.16,0.23,0.3,0.36,0.24,0.28,0.26,0.22,0.26,0.23,0.66,0.52,0.48,0.49,2.15,14,17,11,13,12,10,12,11,31,24,22,23
"23","Alex Hulley_NSWStateChamps2019","Alex Hulley","NSWStateChamps2019",5,"66.21",551,550,606,606,656,659,716,723,45.52,46.67,46.85,46.35,20.35,20.48,18.5,19.38,22.2,23.41,20.35,21.09,29.04,26.96,32.46,29.49,29.48,0.34,0.2,0.16,0.24,0.32,0.42,0.24,0.24,0.26,0.22,0.26,0.24,0.74,0.48,0.48,0.5,2.2,15,19,11,11,12,10,12,11,34,22,22,23
"24","Alex Hulley_NSWStateChamps2019","Alex Hulley","NSWStateChamps2019",6,"X",554,642,602,688,644,731,NA,NA,43.78,45.67,NA,44.73,17.76,16.82,15.54,15.73,NA,NA,16.65,16.27,24.6,22.24,NA,23.42,23.44,0.3,0.2,0.18,0.24,0.32,0.34,0.24,0.28,0.26,0.22,0.26,0.24,0.66,0.52,0.48,0.5,2.16,15,16,11,13,12,10,12,11,31,24,22,23
"25","Alex Hulley_OceaniaChampionships2019","Alex Hulley","OceaniaChampionships2019",1,"63.35",814,641,879,707,945,773,1010,836,45.44,45,44.1,44.85,18.87,19.7,19.16,19.7,18.87,18.8,18.97,19.4,26.89,27.1,26.28,26.76,26.76,0.3,0.23,0.16,0.25,0.31,0.37,0.24,0.28,0.25,0.23,0.27,0.25,0.68,0.52,0.48,0.52,2.2,14,17,11,13,11,10,12,11,31,24,22,24
"26","Alex Hulley_OceaniaChampionships2019","Alex Hulley","OceaniaChampionships2019",2,"X",870,749,941,815,1013,882,1084,949,42.91,42.94,43.34,43.06,20.62,19.7,20.91,20,20.62,20,20.72,19.9,28.15,28.56,28.35,28.35,28.36,0.3,0.22,0.15,0.28,0.29,0.39,0.25,0.24,0.24,0.22,0.28,0.28,0.68,0.49,0.46,0.56,2.19,13,18,11,11,11,10,13,13,31,22,21,26
"27","Alex Hulley_OceaniaChampionships2019","Alex Hulley","OceaniaChampionships2019",3,"65.81",807,675,875,743,943,813,1007,882,45,45.83,47.15,45.99,19.74,20.29,19.74,20.89,18.58,20.59,19.35,20.59,27.92,28.33,27.32,27.86,27.85,0.3,0.22,0.16,0.24,0.32,0.36,0.24,0.26,0.26,0.2,0.3,0.24,0.68,0.5,0.46,0.54,2.18,15,17,11,12,12,9,14,11,31,23,21,25
"28","Alex Hulley_OceaniaChampionships2019","Alex Hulley","OceaniaChampionships2019",4,"64.93",747,661,819,732,893,805,964,875,44.6,44.61,44.59,44.6,20.91,21.19,21.49,21.79,20.62,20.89,21.01,21.29,29.37,30.19,28.95,29.5,29.51,0.32,0.24,0.18,0.26,0.3,0.36,0.24,0.27,0.25,0.24,0.26,0.26,0.66,0.51,0.49,0.52,2.18,14,17,11,12,11,11,12,12,30,23,22,24
"29","Alex Hulley_OceaniaChampionships2019","Alex Hulley","OceaniaChampionships2019",5,"60.3",860,687,920,749,982,813,1043,878,45.94,45.91,46.82,46.22,17.42,18.5,18,19.1,17.71,19.4,17.71,19,25.05,25.87,25.88,25.6,25.6,0.32,0.22,0.18,0.28,0.31,0.42,0.22,0.26,0.26,0.24,0.26,0.28,0.73,0.48,0.5,0.54,2.25,14,19,10,12,12,11,12,12,32,21,22,24
"30","Alex Hulley_OceaniaChampionships2019","Alex Hulley","OceaniaChampionships2019",6,"64.11",905,813,973,874,1039,936,1103,996,41.89,43.21,43.15,42.75,19.74,18.2,19.16,18.5,18.58,17.91,19.16,18.2,26.52,26.29,25.47,26.09,26.09,0.28,0.22,0.14,0.28,0.32,0.37,0.23,0.28,0.26,0.21,0.25,0.28,0.69,0.51,0.47,0.53,2.2,15,17,10,13,12,10,11,13,31,23,21,24
