Comp,Sydney National Championships - Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,6th April 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Louise Mendes,,,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,,,,
,,46.18,,49.07,,48.62,,X,,49.46,,X,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,conversion required,,1,*only used if conversion issue otherwise change,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,, to 1 to avoid temporal data being adjusted,,,,,,,
Calculated duration of interval from Right Foot Plant to Left Toe Up (or Heel Down - if so alter on front page) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.3,,0.32,,0.36,,0.26,,0.32,,0.32,,,0,,,,,,,,,,,,,,,,
Turn 2,,0.24,,0.28,,0.28,,0.24,,0.26,,0.26,,,0,,,,,,,,,,,,,,,,
Turn 3,,0.2,,0.22,,0.24,,0.2,,0.22,,0.24,,,0,,,,,,,,,,,,,,,,
Turn 4,,0.28,,0.32,,0.29,,0.32,,0.32,,0.3,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated times for single and double support phases and as a percentage of total throw time included in report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,Single (s),0.32,,0.34,,0.3,,0.38,,0.34,,0.34,,,0,,,,,,,,,,,,,,,,
,Double (s),0.46,,0.46,,0.52,,0.42,,0.46,,0.44,,,0,,,,,,,,,,,,,,,,
Turn 2,Single (s),0.2,,0.22,,0.22,,0.2,,0.22,,0.24,,,0,,,,,,,,,,,,,,,,
,Double (s),0.39,,0.38,,0.4,,0.34,,0.36,,0.34,,,0,,,,,,,,,,,,,,,,
Turn 3,Single (s),0.21,,0.2,,0.2,,0.22,,0.22,,0.22,,,0,,,,,,,,,,,,,,,,
,Double (s),0.3,,0.34,,0.3,,0.3,,0.28,,0.32,,,0,,,,,,,,,,,,,,,,
